epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.7276,1.42081,3.20461,0.00488,0.65656,0.66107,0.65444,0.46651,1.10007,1.35292,0.00537,0.000470066,0.000470066,0.000470066
2,51.1668,1.21611,1.29518,0.00421,0.78745,0.72718,0.7972,0.57304,1.09568,0.90257,0.0056,0.00092766,0.00092766,0.00092766
3,63.5589,1.21539,1.02639,0.00433,0.85095,0.75749,0.84582,0.6161,1.10512,0.80964,0.0063,0.00136639,0.00136639,0.00136639
4,75.8704,1.22388,0.93496,0.00424,0.87094,0.76943,0.86342,0.64985,1.0383,0.70112,0.00495,0.00134412,0.00134412,0.00134412
5,88.224,1.14151,0.82441,0.00416,0.8848,0.73805,0.86974,0.65688,1.01527,0.66081,0.00498,0.00131582,0.00131582,0.00131582
6,100.393,1.16744,0.82908,0.00388,0.86533,0.81698,0.88632,0.65176,1.06996,0.69647,0.00517,0.00128753,0.00128753,0.00128753
7,112.663,1.15997,0.79617,0.00406,0.86616,0.82639,0.89741,0.68281,0.97646,0.59027,0.00469,0.00125923,0.00125923,0.00125923
8,125.027,1.08422,0.72227,0.0039,0.88337,0.81928,0.89787,0.67795,1.00378,0.62614,0.00512,0.00123094,0.00123094,0.00123094
9,137.141,1.09822,0.72522,0.00385,0.91423,0.79794,0.9002,0.70021,0.95634,0.58824,0.00464,0.00120265,0.00120265,0.00120265
10,149.434,1.06651,0.68745,0.00373,0.89953,0.83992,0.91701,0.70973,0.95642,0.53361,0.00458,0.00117435,0.00117435,0.00117435
11,161.791,1.0585,0.70022,0.00369,0.86732,0.83434,0.90626,0.70278,0.96967,0.59677,0.0048,0.00114606,0.00114606,0.00114606
12,174.042,1.06935,0.67292,0.00355,0.89595,0.83723,0.91118,0.70961,0.96195,0.536,0.00452,0.00111776,0.00111776,0.00111776
13,186.044,1.0437,0.63374,0.00363,0.86238,0.85868,0.91843,0.71514,0.95244,0.54795,0.00447,0.00108947,0.00108947,0.00108947
14,198.353,1.04567,0.6237,0.00349,0.89469,0.85423,0.92624,0.72813,0.94306,0.52959,0.00454,0.00106118,0.00106118,0.00106118
15,210.969,1.02042,0.61118,0.00356,0.9074,0.84644,0.92011,0.70824,0.96436,0.5348,0.00476,0.00103288,0.00103288,0.00103288
16,223.29,1.02004,0.60115,0.00343,0.91256,0.82702,0.92365,0.72533,0.92934,0.49063,0.00442,0.00100459,0.00100459,0.00100459
17,235.849,1.04048,0.60149,0.00341,0.92253,0.80765,0.92592,0.73095,0.90987,0.51246,0.00439,0.000976293,0.000976293,0.000976293
18,248.387,1.03464,0.60049,0.00362,0.89853,0.8607,0.92368,0.71169,0.96323,0.52397,0.00441,0.000947999,0.000947999,0.000947999
19,260.618,1.00525,0.58469,0.00346,0.89878,0.86893,0.93238,0.72433,0.9334,0.50666,0.00454,0.000919704,0.000919704,0.000919704
20,272.718,1.00621,0.56523,0.00321,0.89045,0.84523,0.92016,0.73604,0.8867,0.48887,0.0042,0.00089141,0.00089141,0.00089141
21,284.851,0.93676,0.5425,0.00324,0.91135,0.86769,0.93787,0.7491,0.88757,0.49165,0.0042,0.000863116,0.000863116,0.000863116
22,297.011,0.98351,0.54852,0.00327,0.93506,0.86066,0.94086,0.74484,0.91461,0.4758,0.00434,0.000834822,0.000834822,0.000834822
23,309.103,0.96456,0.52231,0.00326,0.91795,0.85658,0.93641,0.73291,0.92599,0.47409,0.00427,0.000806528,0.000806528,0.000806528
24,321.241,0.94644,0.5125,0.00308,0.92458,0.86773,0.93325,0.7382,0.90999,0.47669,0.00425,0.000778233,0.000778233,0.000778233
25,333.249,0.96889,0.53048,0.00316,0.90044,0.86127,0.93543,0.74446,0.8812,0.46004,0.00411,0.000749939,0.000749939,0.000749939
26,345.354,0.96831,0.5048,0.00322,0.91791,0.87902,0.94038,0.7532,0.87684,0.44148,0.00413,0.000721645,0.000721645,0.000721645
27,357.398,0.93133,0.49582,0.00315,0.92272,0.87475,0.93815,0.74673,0.90982,0.47737,0.00422,0.000693351,0.000693351,0.000693351
28,369.539,0.93971,0.49543,0.00311,0.91843,0.86288,0.93799,0.74146,0.92967,0.4789,0.00432,0.000665057,0.000665057,0.000665057
29,381.876,0.93708,0.49382,0.00309,0.91969,0.86571,0.94577,0.74743,0.91977,0.45781,0.00425,0.000636762,0.000636762,0.000636762
30,394.059,0.93929,0.46308,0.00291,0.90925,0.87904,0.94287,0.76623,0.85338,0.44897,0.00393,0.000608468,0.000608468,0.000608468
31,406.12,0.90106,0.45132,0.0029,0.94174,0.87816,0.9473,0.7598,0.86702,0.43324,0.00395,0.000580174,0.000580174,0.000580174
32,418.2,0.87812,0.45013,0.00286,0.94328,0.87965,0.9498,0.77436,0.85892,0.41921,0.00395,0.00055188,0.00055188,0.00055188
33,430.384,0.89933,0.4429,0.00286,0.93419,0.86756,0.94343,0.76662,0.85202,0.43269,0.00396,0.000523586,0.000523586,0.000523586
34,442.716,0.87519,0.44033,0.00286,0.94712,0.86495,0.94508,0.76311,0.86386,0.43437,0.00397,0.000495291,0.000495291,0.000495291
35,455.208,0.87819,0.42357,0.00274,0.90645,0.90308,0.94725,0.77043,0.84297,0.4227,0.0039,0.000466997,0.000466997,0.000466997
36,467.595,0.85929,0.41331,0.00271,0.92738,0.8961,0.94733,0.77074,0.85114,0.4241,0.00387,0.000438703,0.000438703,0.000438703
37,479.896,0.87335,0.40864,0.0027,0.9283,0.89308,0.9479,0.77474,0.8413,0.4233,0.00382,0.000410409,0.000410409,0.000410409
38,492.317,0.85491,0.41303,0.0027,0.90328,0.8989,0.94931,0.77471,0.85743,0.42131,0.00406,0.000382115,0.000382115,0.000382115
39,504.638,0.87732,0.42364,0.00267,0.95457,0.86791,0.954,0.77252,0.85817,0.4132,0.00395,0.00035382,0.00035382,0.00035382
40,516.872,0.82001,0.38685,0.0026,0.93401,0.89687,0.95289,0.78111,0.83905,0.41138,0.00384,0.000325526,0.000325526,0.000325526
41,536.323,0.75399,0.34533,0.00281,0.90773,0.89169,0.94873,0.77459,0.83569,0.42154,0.00378,0.000297232,0.000297232,0.000297232
42,548.479,0.75849,0.3346,0.00269,0.94218,0.89631,0.95492,0.78401,0.83831,0.39633,0.00385,0.000268938,0.000268938,0.000268938
43,560.654,0.76232,0.32907,0.0027,0.91808,0.90547,0.95211,0.7784,0.84298,0.40556,0.00383,0.000240644,0.000240644,0.000240644
44,572.742,0.75967,0.32951,0.00263,0.93106,0.89915,0.95304,0.78557,0.8258,0.40923,0.00371,0.000212349,0.000212349,0.000212349
45,584.806,0.7531,0.33227,0.00261,0.92493,0.8985,0.95544,0.78225,0.83562,0.39918,0.0038,0.000184055,0.000184055,0.000184055
46,596.746,0.73922,0.3103,0.00253,0.932,0.90444,0.95487,0.78439,0.82695,0.39405,0.00379,0.000155761,0.000155761,0.000155761
